,laptops,prices,ratings,votes
127,"ASUS ZenBook Flip 14"" 2-in-1 Laptop - Gold (Intel Core i5-8250U/256GB SSD/8GB RAM/Win 10) - Open Box",$930.89,90.0,(2)
128,"Microsoft Surface 2 13.5"" Touchscreen Laptop - Burgundy (Intel Core i5/256GB SSD/8GB RAM) - English","$1,400.89",86.6,(3)
129,"Apple MacBook Air 13.3"" w/ Retina - Silver (Intel Core i5 1.6GHz / 128GB SSD / 8GB RAM) - English","$1,500.89",97.6,(16)
130,"Acer Spin 5 13.3"" 2-in-1 Laptop - Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)-Open Box",$850.89,100.0,(2)
131,"HP 15.6"" Laptop - Jet Black (AMD A6-9225/1TB HDD/8GB RAM/Windows 10)",$550.89,40.0,(14)
132,"Microsoft Surface 2 13.5"" Touchscreen Laptop - Cobalt Blue (Intel Core i5/256GB SSD/8GB RAM)-English","$1,400.89",92.6,(16)
133,"Lenovo T440S Ultrabook, Intel Core i7 4th Gen, 8GB RAM, 960GB SSD, Windows 10, 1 Year Warranty, REFURBISHED",$699.99,100.0,(1)
134,"Microsoft Surface Book 2 13.5"" 2-in-1 Laptop (Intel Core i7-8650U/ 256GB SSD/ 8GB RAM) - English","$2,650.89",95.8,(122)
135,"Acer Nitro 5 15.6"" Gaming Laptop -Black/Red (Intel Core i5-8300H/1TB HDD/256GB SSD/8GB RAM/GTX 1060)","$1,350.89",60.0,(2)
136,"Apple MacBook Pro 13.3"" Laptop w/ Touch Bar (Intel Core i5 3.1GHz/512GB SSD/8GB RAM) -Space Grey-English","$1,700.87",96.8,(497)
137,"Apple MacBook Pro with Touch Bar 13.3"" - Space Grey (Intel Core i5/256GB/8GB RAM)(2018 Model)- Eng - Open Box","$2,200.89",60.0,(2)
138,"Microsoft Surface 2 13.5"" Touchscreen Laptop - Platinum (Intel Core i5/256GB SSD/8GB RAM) - English","$1,400.89",93.4,(9)
139,"Lenovo IdeaPad 320 15.6"" Laptop (AMD A12-9720P/1TB HDD/8GB RAM/AMD Radeon R7/Win 10) - Open Box",$650.89,35.0,(4)
140,"Dell 13.3"" Touchscreen 2-in-1 Laptop - Grey (Intel Core i7-8550U/256GB SSD/8GB RAM/Windows 10) - Eng","$1,150.89",100.0,(4)
141,"Acer Aspire 15.6"" Laptop - Black (AMD A9-9420/1TB HDD/8GB RAM/Windows 10)",$450.87,40.0,(2)
142,"Dell Inspiron 13.3"" 2-in-1 Laptop - Grey (Intel Core i5-8250U / 1TB HDD / 8GB RAM / Windows 10)",$650.87,61.2,(17)
143,"HP ENVY x360 15.6"" 2-in-1 Laptop - Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Win 10) - Open Box","$1,000.89",80.0,(1)
144,"Apple MacBook Air 13.3"" w/ Retina - Gold (Intel Core i5 1.6GHz / 128GB SSD / 8GB RAM) - French","$1,500.89",100.0,(1)
145,"Dell G3 15.6"" Laptop - Black (Intel Core i5-8300H/1TB HDD/8GB RAM/Windows 10) - Open Box","$1,000.89",20.0,(1)
146,"ASUS ZenBook 14"" Laptop - Quartz Grey (Intel Core i3-7100U/ 128GB SSD/ 8GB RAM/ Win10)",$900.89,100.0,(2)
147,"Lenovo T450, Intel Core i7 5th Gen, 8GB RAM, 240GB SSD, Windows 10, 1 Year Warranty, REFURBISHED",$599.99,100.0,(1)
148,"Dell 15.6"" Gaming Laptop - Black (Intel Core i5-7300HQ/1TB HDD/8GB RAM/Windows 10)- Eng - Open Box",$950.89,60.0,(4)
149,"ASUS ZenBook Flip UX360CA 13.3"" Touchscreen Laptop - Gold (Intel Core m3-6Y30/256GB SSD) - Open Box",$900.89,80.0,(4)
150,"ASUS B9440 14"" Laptop - Grey Magnesium (Intel Core i5-7200U/512GB SSD/8GB RAM/Windows 10) - English","$1,300.89",100.0,(1)
151,"Acer Aspire E 15.6"" Touchscreen Laptop - (Intel Core i5-7200U/1TB HDD/8GB RAM/Win 10) - Open Box",$600.89,60.0,(5)
152,"Apple MacBook Air 13.3"" w/ Retina - Silver (Intel Core i5 1.6GHz / 256GB SSD / 8GB RAM) - English","$1,750.89",95.6,(9)
153,"Dell 17.3"" Laptop - Silver (Intel Core i7-8550U/2TB HDD/8GB RAM/Windows 10) - English","$1,150.89",65.8,(7)
154,"Google Pixelbook 12.3"" Chromebook - Silver (Intel 7th Gen i5/256GB eMMC/8GB RAM/Chrome OS)-Eng","$1,600.89",89.2,(41)
155,"Dell Inspiron 15.6"" Gaming Laptop - Black (Intel Core i7-6700HQ/1TB HDD/8GB RAM/Windows 10)-Open Box","$1,100.89",60.0,(4)
156,"ASUS 15.6"" Laptop - Dark Grey/Silver - (Intel Core i7-7500U/256GB SSD/8GB RAM/Windows 10)",$980.88,66.6,(3)
157,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 128GB SSD / 8GB RAM) - Silver - English","$1,730.89",96.6,(777)
158,"Microsoft Surface 2 13.5"" Touchscreen Laptop - Burgundy (Intel Core i7/256GB SSD/8GB RAM) - English","$1,750.89",100.0,(1)
159,"Dell Latitude E6230 Laptop Intel Core i5 3320m 2.6GHz 8GB RAM 128GB SSD Win 10 Pro 12.5"" LCD Webcam New Battery Refurbished",$319.99,100.0,(1)
160,"Apple MacBook Pro 13.3"" Retina MD102LL/A (Mid 2012) 2.9GHZ Core i7 8GB / 750GB HDD - Refurbished Grade A Mint Condition",$899.00,66.6,(3)
161,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 256GB SSD / 8GB RAM) - Silver - English","$1,980.89",96.4,(801)
162,DELL PRECISION M4700 I7 3740QM 2.7 GHZ 8GB 320GB 15.6W 2GB NVIDIA DVD/RW WIN 10 PRO 1YR - Refurbished,$729.99,90.0,(2)
163,"Lenovo Flex 5 15.6"" Touchscreen 2-in-1 Laptop-Onyx Black (Intel Core i5-8250U/256GB SSD/8GB RAM)-Eng","$1,100.89",100.0,(1)
164,"ASUS 15.6"" Laptop - Black/Gold (Intel Core i7-5500U/1TB HDD/8GB RAM/Windows 10) - Open Box",$850.89,55.6,(9)
165,"Apple MacBook 12"" Laptop w/ Retina (Intel Core m3 1.2GHz/256GB SSD/8GB RAM) - Space Grey - English","$1,730.89",95.8,(256)
