,laptops,prices,ratings,votes
131,"Open Box - Lenovo ThinkPad X1 Carbon Gen 9 14"" Laptop, CANADIAN FRENCH KEYBOARD, Intel Core i7-11th Gen. 2.8GHz, 8GB RAM, 256GB SSD, HDMI, Windows 11 Pro.",$899.99,0.0,0
132,"Open Box - Lenovo IdeaPad 1i 15.6"" FHD Touchscreen Laptop, Intel i5-1235U, 512GB SSD, 8GB RAM, Intel Iris Xe Graphics, Full Size Keyboard, Dolby Audio, Wi-Fi 6, Win 11, Abyss Blue",$549,0.0,0
133,AVITA Liber E 12th Gen Intel core i5 1235U 8GB RAM 512GB SSD 14.1inch (35.6 cm) FHD IPS Display Windows 11 Home 1.53 Kg Thin & Light (Charcoal),$449.99,5.0,2
134,"Dell Inspiron 15 3511 15.6"" FHD Touch Laptop (Intel Core i5-1035G1, 8GB RAM, 256GB SSD, Windows 11 S Mode) - Black (i3511-5174BLK-PUS)",$649,4.43,1643
135,"Refurbished (Excellent) - Lenovo ThinkPad T14s Gen 2, Business Laptop, Intel Core i5-1135G7, 8GB RAM, 256GB SSD, 14in FHD, Windows 11 Pro - Storm Grey",$384,0.0,0
136,"Refurbished (Good) Microsoft Surface Laptop 3 - 13.5"" Touchscreen Model: i5 12th Gen/8GB RAM/256/ Matte Black MSEX530, PKZ-00024, Model: 1868",$325.99,0.0,0
137,"Open Box - HP 17.3"" Laptop (17-CN3009CA) - Intel i3-N305, 8GB RAM, 512GB SSD, UHD Graphics, Windows 11 Home",$640,0.0,0
138,"Open Box - HP 15.6"" Laptop - Natural Silver (AMD Ryzen 3-7320U /8GB RAM/512GB SSD/Windows 11)",$510.39,0.0,0
139,"Refurbished (Good) - HP EliteBook 840 G3 14"" Laptop - Intel Core i5-6300u - 8GB RAM - 256GB SSD - Windows 10 Pro",$244.99,3.92,12
140,"Refurbished(Excellent) Dell - 14"" FHD Non-Touch Laptop - Intel Core i5-1235U - Intel Iris Xe Graphics - 8GB RAM - 256GB SSD - Windows 11 - Business / School Use",$559.99,0.0,0
141,"Open Box - Lenovo IdeaPad 3 14"" Full HD Laptop, AMD Ryzen 3 3250U, 1TB SSD, 8GB DDR4 RAM, AMD Radeon Graphics, Webcam, HDMI, Wi-Fi, Windows 10, Abyss Blue",$449,0.0,0
142,"HP 15.6"" Full HD Laptop - Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Windows 11 - Natural Silver",$799.99,4.23,1274
143,"Refurbished (Fair) - HP 14"" Laptop - Jet Black (Intel N100/8GB RAM/256GB SSD/Windows 11)",$279.99,0.0,0
144,"Open Box - Microsoft Surface Laptop Go 2 12.4"" Touchscreen Laptop -Sandstone (Intel Ci5-1135G7/256GB SSD/8GB RAM) -En",$594.97,0.0,0
145,"Open Box - ASUS Vivobook S 14 Flip Laptop, 2-in-1 14"" Touchscreen Display, Intel Core i5-12500H, 512GB PCIe SSD, 8GB RAM, Intel Iris Xe Graphics, Win 11, Blue, 32GB USB Card",$749,1.0,1
