,laptops,prices,ratings,votes
158,"Dell Latitude 5000 5580 15.6"" LCD Notebook - Intel Core i5 (7th Gen) i5-7300U Dual-core (2 Core) 2.60 GHz - 8GB DDR4 SDRAM -","$1,248.82",100.0,(1)
159,"Apple MacBook 12"" Laptop w/ Retina (Intel Core m3 1.2GHz / 256GB SSD / 8GB RAM) - Silver - English","$1,730.89",95.0,(4)
160,"EUROCOM Monster 4 14.1"" Gaming Laptop - Black (Intel Core i7 6700HQ/1000GB HDD/8GB RAM/Windows 10)-Eng","$1,700.89",100.0,(2)
161,"HP Pavilion 15.6"" Touchscreen Laptop -Onyx Black/Ash Silver (AMD A6-9210/1TB HDD/8GB RAM/Windows 10)",$630.89,40.0,(1)
162,"Apple MacBook 12"" Laptop w/ Retina (Intel Core i5 1.3GHz / 512GB SSD / 8GB RAM) - Silver - English","$2,000.89",60.0,(2)
163,"ASUS 15.6"" Gaming Laptop - Black (Intel Core i5-7300HQ / 1TB HDD / 12GB RAM / Windows 10)","$1,050.89",100.0,(1)
164,"HP 17.3"" Laptop - Silver (Intel Core i5-7200U/1TB HDD/12GB RAM/Windows 10)",$800.89,76.0,(5)
165,"Acer Aspire Nitro 5 15.6"" Gaming Laptop - Black/Red (i5-7300HQ/128GB SSD/1TB HDD/12GB RAM) - English","$1,000.89",73.4,(6)
166,"Acer Aspire 5 15.6"" Laptop - Black (Intel Core i5-8250U / 1TB HDD / 12GB RAM / Windows 10)",$800.89,76.0,(5)
167,"Acer Aspire 5 15.6"" Laptop - Black (Intel Core i7-8550U/256GB SSD/12GB RAM/Windows 10)","$1,050.89",85.8,(17)
168,"ASUS 15.6"" Laptop - Black/Silver (AMD A12-9720P / 1TB HDD / 12GB RAM / Windows 10)",$750.89,50.0,(4)
169,"Acer Aspire 5 17.3"" Laptop - Black (Intel Core i5-8250U/1TB HDD/12GB RAM/Windows 10)",$900.89,66.2,(13)
170,"Acer Aspire E 17.3"" Laptop - Black (Intel i5-7200U/1TB HDD/12GB RAM/Windows 10)",$700.87,73.0,(52)
